install_datetime,player_id,platform,country,screen_size,system_memory
2020-11-27 20:07:26.395000,00001bc5552cd394a4b25b2ceb4ae7cd,ios,US,9.69696998596191,2914
2020-11-18 17:48:03.901000,000026e096ee1c36cb88234a4dcbb42e,ios,US,6.05534839630127,2831
2020-11-23 17:38:01.931000,00002843536d8cee37cf7b42090fb4bf,ios,AU,4.69440984725952,2002
2020-11-25 20:34:06.745000,00002e5fbc4dfc71000ade73574765be,ios,US,5.49353408813477,2973
2020-12-03 14:46:53.501000,000037b512bb3b8618280d112aeb96af,ios,US,6.46520853042603,3758
2020-11-28 08:59:28.167000,00003d7127ec0d84613dde955783dd37,android,US,5.03115320205688,1830
2020-11-18 10:02:06.089000,00004843b0b60af1e0851a8d11139892,android,AU,5.87801170349121,3679
2020-12-05 16:04:59.787000,00005c346c97d1a223ec6f6edd321fcf,android,GB,9.43398094177246,1778
2020-11-24 21:23:21.723000,00006711a7126708394f8fb279d5b150,android,US,6.17514753341675,2794
2020-11-18 14:15:17.507000,000078643b16b05d2b1be24450c7143a,ios,US,4.69440984725952,2002
2020-11-27 21:48:18.414000,0000825bdb1c907dfa0d2658cf966964,android,US,4.58938980102539,1355
2020-11-27 17:41:37.863000,0000a5ea0d500d65d40140b19e57dcd7,ios,US,6.05534839630127,2831
2020-11-18 14:14:45.338000,0000a91cd0f85304db309d0255073948,ios,US,6.05534839630127,3859
2020-11-21 23:27:46.938000,0000c1e813022018898042253db7bf7c,ios,US,4.69440984725952,2010
2020-12-06 12:02:49.795000,0000c27804855fbce31df18107ea8c08,ios,US,7.85276079177856,1988
2020-12-03 16:22:10.550000,0000f7675c2fb1cd709ec6a866de6028,android,US,7.08655881881714,1849
2020-12-05 15:27:56.099000,0000fc1918310421413aa1f5bb785ceb,ios,US,9.69696998596191,1977
2020-11-18 18:41:29.311000,0000fcbb8120f7d50406bd2aebf71a60,ios,GB,4.69440984725952,1974
2020-11-20 11:35:09.492000,00010144f59f543a985686eba17450b5,ios,CA,7.85276079177856,1988
2020-11-22 11:45:53.200000,00012b3281fe3bc8d3aaa27f279ceb50,android,US,5.22584390640259,3609
2020-11-18 14:16:24.171000,00013a06fa302af72a371ba2e7932e75,ios,GB,6.05534839630127,3859
2020-11-15 13:28:22.617000,000144c6c85df76b63ccace07fec4c0d,ios,CA,4.69440984725952,1974
2020-12-01 20:28:39.712000,000146b70ea07b8eba30bc48c6aefbea,android,GB,5.14326000213623,3610
2020-11-26 14:09:29.142000,00014a1291be029e0c2de65837678348,ios,US,8.2307653427124,3705
2020-12-02 11:22:04.250000,000154606846ea8338d8bfc72b95fbc1,ios,US,4.69440984725952,1974
2020-11-20 17:28:15.446000,0001592275350817e7b56be31e1ee762,ios,CA,3.99962377548218,2011
2020-11-21 08:34:13.090000,000169da2eae48608b0a31735234e4ff,ios,US,6.05534839630127,3859
2020-11-28 12:17:03.018000,00017905781b6a5d62f1dbc77f8c0b0e,android,GB,5.71348476409912,1023
2020-11-27 14:53:32.655000,00017f684be834fb6de389206a955815,ios,US,6.05534839630127,2845
2020-11-23 16:27:12.117000,00018026803ae1de443e2c28ce3f3227,android,US,5.87801170349121,5579
2020-11-16 21:18:48.245000,00018074751f415241dd09355b444d4b,ios,AU,5.49353408813477,3000
2020-11-18 16:33:48.245000,00018074751f415241dd09355b444d4b,ios,AU,5.49353408813477,3000
2020-11-23 10:17:12.432000,0001947fa3cf5931fc2157448d56c9f9,ios,US,4.69440984725952,2007
2020-11-16 09:57:53.595000,0001950138407cbe96b94769b0fa6755,ios,US,6.05534839630127,2845
2020-11-27 19:23:00.267000,0001bfa355306ae74c2b409e6323970a,android,US,5.76693248748779,7469
2020-11-30 00:19:35.271000,0001c793b4c3f51d37bd6fb6ce4ef0d3,ios,US,6.46520853042603,3758
2020-11-23 17:20:41.594000,0001d1aca2c64218105c04f897a56cb6,ios,US,5.49353408813477,1987
2020-11-25 19:58:48.714000,0001d771488c0fb9756206d8183941b0,ios,US,8.28220844268799,2999
2020-11-25 16:19:41.189000,0001d9e68db517e16b4dd6b835fc279a,ios,US,9.69696998596191,1977
2020-11-28 11:18:13.617000,0001f7b0206f1b15ff5f3ba2bef48ff1,ios,US,5.49353408813477,969
2020-11-24 10:25:23.803000,0001ffe29da5e3c9ce072113c52d9a9e,android,US,5.96165037155151,2839
2020-11-27 17:36:56.535000,000202d6b244a61f8d7a6643a6b59592,ios,US,8.28220844268799,2999
